DISORDER	FULLNAME	DATASET	READY_FOR_GSEA	NORMALIZATION	GENES	ORIGINAL_N	CHIP	PROCESS	X	Y
SZO	Schizophrenia	GSE53987	OK	R/Bioconductor was used to apply the Robust Multi-Array Average (RMA) methodology to generate expression values.  Brain regions were normalized separately. 			GLP570	DONE	1	1
SZO	Schizophrenia	GSE12649	quantile normalized	The data were normalized by median centering by GeneSpring software (Agilent) 	22283	102	GPL96	DONE	1	2
SZO	Schizophrenia	GSE12654	quantile normalized	The data were normalized by median centering by GeneSpring software (Agilent) 	12625	50	GPL8300	DONE	1	3
SZO	Schizophrenia	GSE12679	OK	Expression measures were computed for each of the probesets on each of the GeneChips in the dataset using the robust multichip average (RMA) method, which is implemented in the BioConductor package ‘Affy’. RNA digestion plots were also generated using Affy package. A linear regression of expression values on the logarithm (base 2) of slope of the RNA digestion plots for each probeset was performed and the residuals from the regression were assigned as expression values for further analysis.	54675	32	GLP570	DONE	1	4
SZO	Schizophrenia	GSE17612	OK	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 150.	33297	24	GPL570	DONE	1	5
SZO	Schizophrenia	GSE25673	OK	Data in the sample data tables are rma background corrected, quantile normalized, log2 transformed and mean probeset summarized. Further processed data on the Series record were performed by Partek Genomics Suite.	33297	24	GPL6244	DONE	1	6
SZO	Schizophrenia	GSE46509	quantile normalized	GCOS v1.3	61359	16	GPL1352	DONE	1	7
SZO	Schizophrenia	GSE38485	OK	Data were backgroundcorrected in Beadstudio (v.3.2.3) and transformed (vst) and normalised (rsn) in Lumi (R package)	24526	37	GPL6883	DONE	1	8
SZO	Schizophrenia	GSE38485	OK	Data were backgroundcorrected in Beadstudio (v. 3.2.3) and transformed (vst) and normalised (rsn) in Lumi (R package)	48743	202	GPL6947	DONE	1	9
SZO	Schizophrenia	GSE27383	OK	Raw intensities values of all samples were normalized by RMA normalization (Robust Multichip Analysis) (background correction and quantile normalization) using Partek version 6.4 (Partek Inc., St. Louis, MO). To visualize the clustering of the samples, PCA (Principal Component Analysis) was used. The normalized datafile was transposed and imported into OmniViz version 6.0.1 (Biowisdom, Ltd., Cambridge, UK) for further analysis.  A06 and A18 were excluded due to outlying global signal intensities.	54675	72	GPL570	DONE	1	10
SZO	Schizophrenia	GSE37981	quantile normalized	Each array was scanned twice and the Affymetrix Microarray Suite 5.1 software averaged the two images to compute an intensity value for each probe cell within each probe set. For the quality control step, we employed the dChip and Partek® software’s built-in function (Copyright, Partek Inc., St. Louis, MO). We then normalized all data with Partek’s standard normalization method (i.e. data has a mean of zero and a variance of one, and each column for each sample was divided by the average of all control samples). After a principal component analysis revealed the contribution of batch effect (scan date) to the observed variance, an Analysis of Covariance (ANCOVA) was performed with diagnosis and batch effect as covariates and the false discovery rate set at 10%. Differentially expressed genes were visualized by performing unsupervised hierarchical clustering as stringency of the filtering criteria (i.e. fold-change and p-value) was being varied to determine a representative gene list for pathway analyses. We employed three approaches to explore the biological significance of our expression data. First, differentially expressed genes were manually grouped to elucidate gene families that appeared to be dysregulated in schizophrenia. Second, pathway analyses were performed with two web-based algorithms, Ingenuity Pathway Analysis (Ingenuity® Systems) and MetaCore from GeneGo Inc. to map the differentially expressed genes onto biological functions and canonical pathways. With Ingenuity, the significance for each of the identified pathways was determined via a Fisher’s exact test, whereas GeneGo makes use of their algorithm for hypergeometric distribution, identifying pathways overrepresented with significant genes. Third, literature mining was performed to elucidate which of these pathways or gene families might be particularly pertinent for pyramidal neuronal functions and dendritic/synaptic architecture and plasticity. We also made note of differentially expressed genes that have been implicated as schizophrenia risk genes.	61359	18	GPL1352	DONE	2	1
SZO	Schizophrenia	GSE35978	Not able to find chip, but OK	The data were analyzed by RMA using Affymetrix Expression Console with default analysis settings.	33297	312	GPL6244	DONE	2	2
SZO	Schizophrenia	GSE26927	quantile normalized	The data was extracted using BeadStudio 3.2 (Illumina). Data normalisation and gene differential expression analyses were conducted using the Rosetta error models available in the Rosetta Resolver® system v7.0 (Rosetta Biosoftware, Seattle, Wa, USA).	20589	118	GPL6255	DONE	2	3
SZO	Schizophrenia	GSE21138	OK	RNA expression data from schizophrenic subjects and their matched controls were normalized using dChip (DNA-Chip Analyzer), a statistical model for the probe-level data which gives model-based estimates for gene expression indices (Li and Hung Wong 2001) and subjected to a batch adjustment normalization to allow for comparisons among all three cohorts (Johnson et al., 2007).  Data were filtered to exclude those transcripts that were not present in at least one of the RNA samples, those with redundant probeset IDs (retaining those with the highest p-value for hybridization) and those showing the lowest variation; a list of 14,438 probesets remained for statistical testing. Sample data tables include only probesets that gave a "Present" call in at least one sample.	30061	59	GPL570	DONE	2	4
PTSD	Post traumatic stress disorder	GSE860	quantile normalized	NO INFORMATION	12600	33	GPL91	DONE	2	5
PTSD	Post traumatic stress disorder	GSE42002	looks ok on MA plot	Microarray expression analysis was performed in R, using beadarray (providing routines to handle Illumina BeadStudio data) , limma (for statistical routines) and vsn (for normalization) packages. Raw microarray scan files were exported using the Illumina Beadstudio program and loaded into R for downstream analysis. The data were transformed and normalized using the variance stabilizing normalization method.	48733	129	GPL6947	DONE	2	6
BPD	Bipolar Disorder	GSE5388	quantile normalized	The raw data (CEL files) were read into R statistical package and normalised using the robust multi-chip average (RMA) method (Irizarray et al, 'Exploration, normalization and summaries of high density oligonucleotide array probe level data', Biostatistics, 2003).	22283	61	GPL96	DONE	2	7
BPD	Bipolar Disorder	GSE7036	OK	Relative expression values were generated for each transcript using the Affymetrix MAS5.0 algorithm in GeneChip® Operating Software (GCOS) Version 1.2, with the average intensity of all transcripts on each array scaled to 150 so that the same target signal across all arrays could be compared	54675	6	GPL570	DONE	2	8
BPD	Bipolar Disorder	GSE11767	OK	Relative expression values were generated for each transcript using the Affymetrix MAS5.0 algorithm in GeneChip® Operating Software (GCOS) Version 1.2, with the average intensity of all transcripts on each array scaled to 150 so that the same target signal across all arrays could be compared	22277	8	GPL571	DONE	2	9
BPD	Bipolar Disorder	GSE23848	OK	The data were normalised using quantile normalisation with IlluminaGUI in R	48701	35	GPL6106	DONE	2	10
