FULLNAME	DATASET	READY_FOR_GSEA	NORMALIZATION	GENES	ORIGINAL_N	CHIP	PROCESS	X	Y
Schizophrenia	GSE53987	OK	R/Bioconductor was used to apply the Robust Multi-Array Average (RMA) methodology to generate expression values.  Brain regions were normalized separately. 			GLP570	DONE	1	1
Schizophrenia	GSE12649	quantile normalized	The data were normalized by median centering by GeneSpring software (Agilent) 	22283	102	GPL96	DONE	1	2
Schizophrenia	GSE12654	quantile normalized	The data were normalized by median centering by GeneSpring software (Agilent) 	12625	50	GPL8300	DONE	1	3
Schizophrenia	GSE12679	OK	Expression measures were computed for each of the probesets on each of the GeneChips in the dataset using the robust multichip average (RMA) method, which is implemented in the BioConductor package ‘Affy’. RNA digestion plots were also generated using Affy package. A linear regression of expression values on the logarithm (base 2) of slope of the RNA digestion plots for each probeset was performed and the residuals from the regression were assigned as expression values for further analysis.	54675	32	GLP570	DONE	1	4
Schizophrenia	GSE17612	OK	The data were analyzed with Microarray Suite version 5.0 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 150.	33297	24	GPL570	DONE	1	5
Schizophrenia	GSE25673	OK	Data in the sample data tables are rma background corrected, quantile normalized, log2 transformed and mean probeset summarized. Further processed data on the Series record were performed by Partek Genomics Suite.	33297	24	GPL6244	DONE	1	6
Schizophrenia	GSE46509	quantile normalized	GCOS v1.3	61359	16	GPL1352	DONE	1	7
Schizophrenia	GSE38485	OK	Data were backgroundcorrected in Beadstudio (v.3.2.3) and transformed (vst) and normalised (rsn) in Lumi (R package)	24526	37	GPL6883	DONE	1	8
Schizophrenia	GSE38485	OK	Data were backgroundcorrected in Beadstudio (v. 3.2.3) and transformed (vst) and normalised (rsn) in Lumi (R package)	48743	202	GPL6947	DONE	1	9
Schizophrenia	GSE27383	OK	Raw intensities values of all samples were normalized by RMA normalization (Robust Multichip Analysis) (background correction and quantile normalization) using Partek version 6.4 (Partek Inc., St. Louis, MO). To visualize the clustering of the samples, PCA (Principal Component Analysis) was used. The normalized datafile was transposed and imported into OmniViz version 6.0.1 (Biowisdom, Ltd., Cambridge, UK) for further analysis.  A06 and A18 were excluded due to outlying global signal intensities.	54675	72	GPL570	DONE	1	10
Schizophrenia	GSE37981	quantile normalized	Each array was scanned twice and the Affymetrix Microarray Suite 5.1 software averaged the two images to compute an intensity value for each probe cell within each probe set. For the quality control step, we employed the dChip and Partek® software’s built-in function (Copyright, Partek Inc., St. Louis, MO). We then normalized all data with Partek’s standard normalization method (i.e. data has a mean of zero and a variance of one, and each column for each sample was divided by the average of all control samples). After a principal component analysis revealed the contribution of batch effect (scan date) to the observed variance, an Analysis of Covariance (ANCOVA) was performed with diagnosis and batch effect as covariates and the false discovery rate set at 10%. Differentially expressed genes were visualized by performing unsupervised hierarchical clustering as stringency of the filtering criteria (i.e. fold-change and p-value) was being varied to determine a representative gene list for pathway analyses. We employed three approaches to explore the biological significance of our expression data. First, differentially expressed genes were manually grouped to elucidate gene families that appeared to be dysregulated in schizophrenia. Second, pathway analyses were performed with two web-based algorithms, Ingenuity Pathway Analysis (Ingenuity® Systems) and MetaCore from GeneGo Inc. to map the differentially expressed genes onto biological functions and canonical pathways. With Ingenuity, the significance for each of the identified pathways was determined via a Fisher’s exact test, whereas GeneGo makes use of their algorithm for hypergeometric distribution, identifying pathways overrepresented with significant genes. Third, literature mining was performed to elucidate which of these pathways or gene families might be particularly pertinent for pyramidal neuronal functions and dendritic/synaptic architecture and plasticity. We also made note of differentially expressed genes that have been implicated as schizophrenia risk genes.	61359	18	GPL1352	DONE	2	1
Schizophrenia	GSE35978	Not able to find chip, but OK	The data were analyzed by RMA using Affymetrix Expression Console with default analysis settings.	33297	312	GPL6244	DONE	2	2
Schizophrenia	GSE26927	quantile normalized	The data was extracted using BeadStudio 3.2 (Illumina). Data normalisation and gene differential expression analyses were conducted using the Rosetta error models available in the Rosetta Resolver® system v7.0 (Rosetta Biosoftware, Seattle, Wa, USA).	20589	118	GPL6255	DONE	2	3
Schizophrenia	GSE21138	OK	RNA expression data from schizophrenic subjects and their matched controls were normalized using dChip (DNA-Chip Analyzer), a statistical model for the probe-level data which gives model-based estimates for gene expression indices (Li and Hung Wong 2001) and subjected to a batch adjustment normalization to allow for comparisons among all three cohorts (Johnson et al., 2007).  Data were filtered to exclude those transcripts that were not present in at least one of the RNA samples, those with redundant probeset IDs (retaining those with the highest p-value for hybridization) and those showing the lowest variation; a list of 14,438 probesets remained for statistical testing. Sample data tables include only probesets that gave a "Present" call in at least one sample.	30061	59	GPL570	DONE	2	4
Post traumatic stress disorder	GSE860	quantile normalized	NO INFORMATION	12600	33	GPL91	DONE	2	5
Post traumatic stress disorder	GSE42002	looks ok on MA plot	Microarray expression analysis was performed in R, using beadarray (providing routines to handle Illumina BeadStudio data) , limma (for statistical routines) and vsn (for normalization) packages. Raw microarray scan files were exported using the Illumina Beadstudio program and loaded into R for downstream analysis. The data were transformed and normalized using the variance stabilizing normalization method.	48733	129	GPL6947	DONE	2	6
Bipolar Disorder	GSE5388	quantile normalized	The raw data (CEL files) were read into R statistical package and normalised using the robust multi-chip average (RMA) method (Irizarray et al, 'Exploration, normalization and summaries of high density oligonucleotide array probe level data', Biostatistics, 2003).	22283	61	GPL96	DONE	2	7
Bipolar Disorder	GSE7036	OK	Relative expression values were generated for each transcript using the Affymetrix MAS5.0 algorithm in GeneChip® Operating Software (GCOS) Version 1.2, with the average intensity of all transcripts on each array scaled to 150 so that the same target signal across all arrays could be compared	54675	6	GPL570	DONE	2	8
Bipolar Disorder	GSE11767	OK	Relative expression values were generated for each transcript using the Affymetrix MAS5.0 algorithm in GeneChip® Operating Software (GCOS) Version 1.2, with the average intensity of all transcripts on each array scaled to 150 so that the same target signal across all arrays could be compared	22277	8	GPL571	DONE	2	9
Bipolar Disorder	GSE23848	OK	The data were normalised using quantile normalisation with IlluminaGUI in R	48701	35	GPL6106	DONE	2	10
Bipolar Disorder	GSE46449	quantile normalized	The data were analyzed using  BRB-Array Tools versions: 3.8.1 (as described in the manuscript) and 4.2.1 (the processed matrix GEO data).  Cell files were imported into the BRBArray Tools package, and converted to normalized intensity values using the Almost RMA (aRMA) algorithm.  A total of 199 cel files were imported into the project, including expression data obtained from patients with other psychiatric disorders.  Normalized intensity values reflect the a-RMA parameters employed across the entire sample dataset.   Analyses were performed on the sub-set of samples relevent to the study hypothesis.  	54675	88	GPL570	DONE	3	1
Alzheimer's	GSE29378		The data were normalised using quantile normalisation with normalize.quantiles() in R				DONE	3	2
Alzheimer's	GSE28146	OK	The data were analyzed with Expression Console version 1.1 (MAS 5.0) using Affymetrix default analysis settings and global scaling as normalization method. The trimmed mean target intensity of each array was arbitrarily set to 500. 	54675	30	GPL570	DONE	3	3
Alzheimer's	GSE18309	quantile normalized	Gene expression analysis software was used for data analyses of differential expression profiles and RMA was used for normalization (GeneSpring GX software, version 7.3, Agilent Technologies, USA).	54675	9	GPL570	DONE	3	4
Alzheimer's	GSE16759	OK	R/Bioconductor, RMA normalization	54675	8	GPL570	DONE	3	5
Alzheimer's	GSE15222	quantile normalized	RNA: Beadstudio software v 1.5.0.34, rank invariant normalization to extract ...	24354	363	GPL2700	DONE	3	6
Alzheimer's	GSE12685	quantile normalized	Model-Based Expression Index (dChip) (Li and Wong, 2001) implemented in Bioconductor, was used for signal normalization within an individual chip and across all samples. For high-level analysis, statistics tests were conducted to find significantly expressed genes, and this small set of genes was applied for clustering and pathway analysis. Probe sets that were differentially expressed among control and IAD were identified using ANOVA. Benjamini and Hochberg’s False Discovery Rate (FDR) was used for adjusting for multiple testing. The genes with significant change in expression were subject to  hierarchical clustering using dChip. ...	22283	14	GPL96	DONE	3	7
Alzheimer's	GSE1297	quantile normalized	No detail	22283	31	GPL96	DONE	3	8
Alzheimer's	GSE5281	quantile normalized	MAS5.0; target scaling to 15	54675	161	GPL570	DONE	3	9
Alzheimer's	GSE4757	OK	No detail	54675	20	GPL570	DONE	3	10
Autism Spectrum Disorder	GSE6575	OK	Levels: Raw data values were imported into GENESPRING 7.2 software (Agilent Technologies, Palo Alto, CA) and processed using GC-RMA, followed by normalization. A three-step normalization procedure was applied to raw expression values (Genespring 2004). First, values less than 0.01 were set to 0.01 (data transformation). Second, per chip normalization was performed by dividing each measurement by the 50.0th percentile of all measurements in that sample. Third, each gene was divided by the median of its measurements in all samples (per gene normalization).	54675	56	GPL570	DONE	4	1
Autism Spectrum Disorder	GSE7329	OK	Scanner output image file was normalized and filtered using Feature Extraction Software ver 8.5. Normalization was performed so that overall intensity ratio of Cy5 to Cy3 was equal to one.	43931	30	GPL1708	DONE	4	2
Autism Spectrum Disorder	GSE18123	visually checked with MA plot	The data were analyzed with umethod using Affymetrix Power Tools version 1.10.	54613	99	GPL570	DONE	4	3
Autism Spectrum Disorder	GSE18123	visually checked with MA plot	The data were analyzed with Probe Logarithmic Intensity Error (PLIER) estimation method using Affymetrix Power Tools version 1.10.	33297	186	GPL6244	DONE	4	4
Autism Spectrum Disorder	GSE25507	OK	RMA	54613	146	GPL570	DONE	4	5
Autism Spectrum Disorder	GSE28475	normalized with quantila	data not normalized	12262	20	GPL13388	DONE	4	6
Autism Spectrum Disorder	GSE28475	normalized with quantila	data not normalized	24526	123	GPL6883	DONE	4	7
Autism Spectrum Disorder	GSE28521	OK	Log2 transformation and Quantile normalization using the R Lumi package.	10793	79	GPL6883	DONE	4	8
Autism Spectrum Disorder	GSE37772	OK	Outlier samples were first removed followed by quantile normalisation and combat. All data processing steps were done in R (version 2.14.2).	24526	439	GPL6883	DONE	4	9
Autism Spectrum Disorder	GSE39447	OK	The raw data (.pair file) was subjected to RMA (Robust Multi-Array Analysis; Irizarry et al. Biostatistics 4(2):249), quantile normalization (Bolstad et al. Bioinformatics 19(2):185), and background correction as implemented in the NimbleScan software package, version 2.4.27 (Roche NimbleGen, Inc.).	135096	39	GPL13635	DONE	4	10
Autism Spectrum Disorder	GSE38322	OK	Levels: Data were normalized, variance-stabilized, and filtered for probes with detection p-values less than or equal to 0.01 in R using the lumi Bioconductor package	47323	36	GPL10558	DONE	5	1
Borderline Personality Disorder	GSE52222	quantile normalized	was carried out by Life & Brain GmbH, Bonn	27579	36	GPL8490	DONE	5	2
Down Syndrome	GSE5390	quantile normalized	The raw data (CEL files) were read into R statistical package and normalised using the robust multi-chip average (RMA) method (Irizarray et al, 'Exploration, normalization and summaries of high density oligonucleotide array probe level data', Biostatistics, 2003).	22283	15	GPL96	DONE	5	3
Down Syndrome	GSE50586	quantile normalized	Raw intensities extracted using GenomeStudio v2010.1. Background normalization was conducted by subtracting averaged negative probe intensity from signal A and B. Then quantile normalization was done to control for chip to chip variation. Finally, average beta is recalculated from normalized intensities: methylated intensity / (methylated + unmethylated intensities). Data points with bad detection P values are removed and then imputed. One CpG site, cg22903370, was removed due to >50% of data points missing	48557	20	GPL13534	DONE	5	4
Down Syndrome	GSE42114	OK	GCRMA (using gcrma package from R/Bioconductor)	54675	19	GPL570	DONE	5	5
Down Syndrome	GSE42956	OK	For each probe, raw signal intensity was calculated using GenomeStudio software (Illumina). Normalization and statistical analysis of microarray data were performed in R using the Bioconductor packages Lumi and Limma.	47309	54	GPL10558	DONE	5	6
Down Syndrome	GSE42772	OK	Quantile normalization, probe detection, fold-change comparison in R and Matlab	20589	16	GPL6255	DONE	5	7
Down Syndrome	GSE16176	OK	Normalization was performed with the threestep command from the AffyPLM package in BioConductor, using ideal-mismatch background/signal adjustment, quantile normalization, and the Tukey biweight summary method.  Identification of individual differentially-expressed genes was performed via two-sided, paired t-tests using the multtest package in BioConductor, with the Benjamini-Hochberg adjustment for multiple testing. 	54675	14	GPL570	DONE	5	8
Down Syndrome	GSE6283	OK	Call detection and signal intensities were generated by Affymetrix GCOS software. Raw data were imorted into ArrayAssist version 4.1 software. For normalization, GC-RMA normalization algorithm implemented in ArrayAssist were applied.	54675	21	GPL570	DONE	5	9
Turner's Syndrome	GSE46687	quantile normalized	The data were extracted using the GeneChip Operating System 1.2 (Affymetrix).  An estimate of signal for each transcript was clculated using the Robust Multi-Array Average (RMA) using Expression Console Version 1.1 (Affymetrix) for normalization and background adjustment.	54675	36	GPL570	DONE	5	10
Sleep Disorder	GSE48113	OK	Individual samples were filtered based on AgilentQC metrics of reproducibility statistics, minimum detection level estimates and feature flags. Samples with a median coefficient of variation of less than 10% in spike ins or non-control replicated probes (NCRPs) were retained and quantile-normalised using the R Bioconductor package limma. NCRPs along with their corresponding flags were averaged. Probes with more than 5 flagged samples within a subject in more than half of the total number of subjects were excluded. In addition, for time-series analyses, series with 2 consecutive or more than 2 missing time points were excluded.	43758	287	GPL15331	DONE	6	1
Sleep Disorder	GSE49800	OK (needed to remove NA)	RMA algorithm with quantile normalization and background correction	33297	36	GPL6244	DONE	6	2
Sleep Disorder	GSE38792	quantile normalized	Background adjustment and quantile normalization using the Robust Multichip Average algorithm  using Log2 transformed intensities.	33297	18	GPL6244	DONE	6	3
Sleep Disorder	GSE37667	OK	Gene expression values were obtained using the three-step Robust Multi-array Average (RMA) pre-processing method (Irizarry et al., 2003), implemented in the Affymetrix Inc. package from R/Bioconductor. We applied the ComBat method prior to analysis for adjusting data for undesirable experimental variation (or batch effect) caused by different days in which the microarrays were processed. ComBat implements an empirical Bayes approach, that is commonly used in microarray analyses due to its ability to robustly handle high-dimensional data when sample sizes are small (Johnson et al, 2007).	54675	27	GPL570	DONE	6	4
Sleep Disorder	GSE21592	OK	CEL files were imported using the default BRB Array tools normalization parameters.  Probe-level data were pre-processed, including background correction, normalization,  and summarization , using robust multi-array average (RMA) analysis; subsequent  data normalization was performed across all arrays using quantile normalization.	22277	20	GPL571	DONE	6	5
Alcoholism	GSE53808	quantile normalized (separated motor and frontal cortex)	Data analysis was carried out using Broad Institute’s Gene Pattern (GP) analysis system hosted by the Peter Wills Bioinformatics Centre (PWBC) at the Garvan Institute of Medical Research, Sydney. All 40 samples passed quality control and the CEL files were combined into a ‘gct’ file using the GP ‘normalize affymetrix3’ module. Differential gene expression (DEG) was determined using Linear Models of Microarrays (Limma) (Smyth, 2004) implemented in the GP tool LimmaGP (Mark Cowley, unpublished data). The U219A array’s 49386 probes were collapsed down to 20260 expressed genes based on the most differentially expressed probe. Here p-values were adjusted for multiple comparisons using the false discovery rate method with a FDR q-value < 0.25 accepted as significant. DEG summarization was carried out using Gene Set Enrichment Analysis (GSEA)(Subramanian et al., 2005) with the molecular signature database (MSigDB) c2.all.v3.0. In addition we added alcohol-specific datasets from NCBI Gene Expression Omnibus (GEO):  GDS3703; GDS1660 and GDS2841. GSEA gene lists were ranked on normalized enrichment scores with FDR q-value < 0.05 considered significant.	49386	32	GPL1667	DONE	6	6
Alcoholism	GSE49393	quantile normalized (separated motor and frontal cortex)	Data was normalized using controls normalization built-in GenomeStudio software V2011.1 (Methylation Module V1.9.0).	48557	48	GPL13534	DONE	6	7
