100	"AEukaryotic Type"	"B  Centromeric chromatin formation proteins"	"C    Kinetochore proteins"	"D      KMN network proteins"	"E        NDC80 complex"	"NDC80"
100	"AGenetic Information Processing"	"B  Folding, sorting and degradation"	"C    04120 Ubiquitin mediated proteolysis [PATH:hsa04120]"	"D      8651 SOCS1; suppressor of cytokine signaling 1	K04694 SOCS1; suppressor of cytokine signaling 1"	"0"	"SOCS1"
100	"AEnvironmental Information Processing"	"B  Signal transduction"	"C    04630 Jak-STAT signaling pathway [PATH:hsa04630]"	"D      8651 SOCS1; suppressor of cytokine signaling 1	K04694 SOCS1; suppressor of cytokine signaling 1"	"0"	"SOCS1"
100	"AOrganismal Systems"	"B  Endocrine system"	"C    04910 Insulin signaling pathway [PATH:hsa04910]"	"D      8651 SOCS1; suppressor of cytokine signaling 1	K04694 SOCS1; suppressor of cytokine signaling 1"	"0"	"SOCS1"
100	"AOrganismal Systems"	"B  Endocrine system"	"C    04917 Prolactin signaling pathway [PATH:hsa04917]"	"D      8651 SOCS1; suppressor of cytokine signaling 1	K04694 SOCS1; suppressor of cytokine signaling 1"	"0"	"SOCS1"
100	"AOrganismal Systems"	"B  Development"	"C    04380 Osteoclast differentiation [PATH:hsa04380]"	"D      8651 SOCS1; suppressor of cytokine signaling 1	K04694 SOCS1; suppressor of cytokine signaling 1"	"0"	"SOCS1"
11	"AHuman Diseases"	"B  Cancers"	"C    05206 MicroRNAs in cancer [PATH:hsa05206]"	"D      8651 SOCS1; suppressor of cytokine signaling 1	K04694 SOCS1; suppressor of cytokine signaling 1"	"0"	"SOCS1"
11	"AHuman Diseases"	"B  Endocrine and metabolic diseases"	"C    04930 Type II diabetes mellitus [PATH:hsa04930]"	"D      8651 SOCS1; suppressor of cytokine signaling 1	K04694 SOCS1; suppressor of cytokine signaling 1"	"0"	"SOCS1"
11	"AHuman Diseases"	"B  Infectious diseases"	"C    05145 Toxoplasmosis [PATH:hsa05145]"	"D      8651 SOCS1; suppressor of cytokine signaling 1	K04694 SOCS1; suppressor of cytokine signaling 1"	"0"	"SOCS1"
11	"AUbiquitin ligases (E3)"	"B  multi subunit Ring-finger type E3"	"C    ECS complex"	"D      target recognizing subunit (SOCS box)"	"E        8651 SOCS1; suppressor of cytokine signaling 1	K04694 SOCS1; suppressor of cytokine signaling 1 "	"SOCS1"
11	"A2. Transferases"	"B  2.7  Transferring phosphorus-containing groups"	"C    2.7.11  Protein-serine/threonine kinases"	"D      2.7.11.1  non-specific serine/threonine protein kinase"	"E        9833 MELK; maternal embryonic leucine zipper kinase 	K08799 MELK; maternal embryonic leucine zipper kinase [EC:2.7.11.1] "	"MELK"
11	"ASerine/threonine protein kinases: CAMK group"	"B  CAMKL family"	"C    9833 MELK; maternal embryonic leucine zipper kinase 	K08799 MELK; maternal embryonic leucine zipper kinase [EC:2.7.11.1] "	"D      2.7.11.1  non-specific serine/threonine protein kinase"	"E        9833 MELK; maternal embryonic leucine zipper kinase 	K08799 MELK; maternal embryonic leucine zipper kinase [EC:2.7.11.1] "	"MELK"
11	"AHuman Diseases"	"B  Cancers"	"C    05203 Viral carcinogenesis [PATH:hsa05203]"	"D      1959 EGR2; early growth response 2	K12496 EGR2; early growth response protein 2"	"0"	"EGR2"
50	"AHuman Diseases"	"B  Infectious diseases"	"C    05166 HTLV-I infection [PATH:hsa05166]"	"D      1959 EGR2; early growth response 2	K12496 EGR2; early growth response protein 2"	"0"	"EGR2"
